parent;child;description;sorting;item_type;action
full_en;fs;System;1;M;
full_en;ae;Edit;15;M;
full_en;fh;Help;99;M;
full_it;fs;Sistema;1;M;
full_it;ae;Modifica;15;M;
full_it;fh;Aiuto;99;M;
fs;fscc;;1;A;sys_change_company
fs;fss1;;2;S;
fs;fscp;;3;A;sys_change_password
fs;fss2;;4;S;
fs;fspr;;5;A;sys_preferences
fs;fss3;;6;S;
fs;fsbu;;7;A;sys_backup_restore
fs;fss4;;8;S;
fs;fscn;;9;A;sys_connections
fs;fscnh;;10;A;sys_connections_history
fs;fss5;;11;S;
fs;fsmc;;12;A;sys_companies
fs;fsmp;;13;A;sys_profiles
fs;fsmu;;14;A;sys_users
fs;fss6;;16;S;
fs;fsmtm;;18;A;sys_menus
fs;fsmtt;;19;A;sys_toolbars
fs;fsmts;;20;A;sys_shortcuts
fs;fss7;;21;S;
fs;fsrp;;22;A;sys_reports
fs;fssc;;23;A;sys_scripting
fs;fscu;;25;A;sys_customizations
fs;fss8;;26;S;
fs;fsq;;27;A;sys_quit
ae;aenw;;1;A;sys_edit_new
ae;aesa;;2;A;sys_edit_save
ae;aede;;3;A;sys_edit_delete
ae;aerl;;4;A;sys_edit_reload
ae;aes1;;5;S;
ae;aefr;;6;A;sys_edit_first
ae;aepr;;7;A;sys_edit_previous
ae;aene;;8;A;sys_edit_next
ae;aela;;9;A;sys_edit_last
ae;aes2;;10;S;
ae;aefl;;11;A;sys_edit_filter
ae;aes3;;12;S;
ae;aeac;;13;A;sys_edit_add_child
ae;aear;;14;A;sys_edit_add
ae;aerr;;15;A;sys_edit_remove
ae;aes4;;16;S;
ae;aecv;;17;A;sys_edit_change_view
ae;aept;;18;A;sys_edit_print
ae;aeex;;19;A;sys_edit_export
fh;fhi;;1;A;help_index
fh;fhf;;2;A;help_faq
fh;fhs1;;3;S;
fh;fhs;;4;A;help_system_info
fh;fhs2;;5;S;
fh;fha;;6;A;help_about
fh;fhqt;;7;A;help_about_qt
default_it;ds;Sistema;1;M;
default_it;ae;Modifica;2;M;
default_it;dh;Aiuto;99;M;
ds;dscc;;1;A;sys_change_company
ds;dss1;;2;S;
ds;dscp;;3;A;sys_change_password
ds;dss2;;4;S;
ds;dsct;;5;A;sys_preferences
ds;dss3;;6;S;
ds;dsq;;7;A;sys_quit
dh;dhi;;1;A;help_index
dh;dhf;;2;A;help_faq
dh;dhs1;;3;S;
dh;dhs;;4;A;help_system_info
dh;dhs2;;5;S;
dh;dha;;6;A;help_about
dh;dhqt;;7;A;help_about_qt
full_en;ffi;File;10;M;
full_en;fac;Activities;20;M;
full_en;fst;Statistics;30;M;
full_en;fut;Utilities;40;M;
ffi;ffiprn;;1;A;app_file_printers
ffi;ffidep;;3;A;app_file_departments
ffi;ffitab;;4;A;app_file_tables
ffi;ffiite;;5;A;app_file_items
ffi;ffiprl;;6;A;app_file_price_list
ffi;ffieve;;7;A;app_file_events
ffi;ffisp1;;8;S;
ffi;ffiwor;;9;A;app_file_web_orders
ffi;ffiord;;10;A;app_file_orders
ffi;ffisp2;;11;S;
ffi;ffiset;;12;A;app_file_settings
fac;facord;;1;A;app_activities_orders
fac;facsp1;;2;S;
fac;facsti;;3;A;app_activities_stock_inventory
fac;faccun;;4;A;app_activities_stock_unload
fac;facopr;;5;A;app_activities_order_progress
fac;facsp2;;6;S;
fac;facins;;7;A;app_activities_income_summary
fst;fstsls;;1;A;app_statistics_sales
fst;fstcns;;2;A;app_statistics_consumption
fst;fstsp1;;3;S;
fst;fstexp;;4;A;app_statistics_export
fut;futdor;;1;A;app_utilities_delete_orders
fut;futurb;;2;A;app_utilities_unloads_rebuild
fut;futnrb;;3;A;app_utilities_numbering_rebuild
fut;futmap;;4;A;app_utilities_mark_as_processed
full_it;ffi;Archivi;10;M;
full_it;fac;Attività;20;M;
full_it;fst;Statistiche;30;M;
full_it;fut;Utility;40;M;
default_it;dfi;Archivi;10;M;
default_it;dac;Attività;20;M;
default_it;dst;Statistiche;30;M;
default_it;dut;Utility;40;M;
dfi;dfiprn;;1;A;app_file_printers
dfi;dfidep;;3;A;app_file_departments
dfi;dfitab;;4;A;app_file_tables
dfi;dfiite;;5;A;app_file_items
dfi;dfiprl;;6;A;app_file_price_list
dfi;dfieve;;7;A;app_file_events
dfi;dfisp1;;8;S;
dfi;dfiwor;;9;A;app_file_web_orders
dfi;dfiord;;10;A;app_file_orders
dfi;dfisp2;;11;S;
dfi;dfiset;;12;A;app_file_settings
dac;dacord;;1;A;app_activities_orders
dac;dacsp1;;2;S;
dac;dacsti;;3;A;app_activities_stock_inventory
dac;daccsa;;4;A;app_activities_stock_unload
dac;dacopr;;5;A;app_activities_order_progress
dac;dacsp2;;6;S;
dac;dacins;;7;A;app_activities_income_summary
dst;dstsls;;1;A;app_statistics_sales
dst;dstcns;;2;A;app_statistics_consumption
dst;dstsp1;;3;S;
dst;dstexp;;4;A;app_statistics_export
dut;dutdor;;1;A;app_utilities_delete_orders
dut;duturb;;2;A;app_utilities_unloads_rebuild
dut;dutnrb;;3;A;app_utilities_numbering_rebuild
dut;dutmap;;4;A;app_utilities_mark_as_processed
